col0,hjd,camera,filter,mag,magerr,flux (mJy),flux err,mjd,phase
27,2457420.543,bf,V,8.292,0.02,1849.97,34.039,57420.04300000006,0.6131616000566282
142,2457421.542,bf,V,8.107999999999999,0.02,2190.388,40.303000000000004,57421.0419999999,0.3835903999352013
128,2457423.711,bf,V,,0.02,1239.363,22.804000000000002,57423.21100000013,0.056323200107726734
102,2457427.7430000002,bf,V,8.199,0.02,2015.16,37.079,57427.24300000025,0.16580160020384938
138,2457437.826,bf,V,8.182,0.02,2046.5279999999998,37.656,57437.325999999885,0.9418111999111716
18,2457439.824,bf,V,8.149,0.02,2109.814,38.821,57439.32400000002,0.4826688000248396
51,2457444.703,bf,V,8.124,0.02,2160.167,39.747,57444.20300000021,0.24535360016307095
3,2457445.755,bf,V,8.179,0.02,2053.487,37.784,57445.25499999989,0.05665599992062198
24,2457448.594,bf,V,8.152000000000001,0.02,2104.157,38.716,57448.09400000004,0.24609280003642198
120,2457453.7290000003,bf,V,8.228,0.02,1962.236,36.105,57453.22900000028,0.20620480022625998
47,2457455.5519999997,bf,V,8.066,0.02,2277.743,41.91,57455.051999999676,0.6121023997548036
119,2457456.501,bf,V,8.226,0.02,1965.872,36.172,57456.001000000164,0.34397120013454696
116,2457457.578,bf,V,8.3,0.02,1835.9470000000001,33.781,57457.07800000021,0.17455360016901977
6,2457460.667,bf,V,8.231,0.02,1957.517,36.018,57460.1669999999,0.5567903999253758
156,2457478.586,bf,V,8.256,0.02,1912.705,35.194,57478.08600000013,0.37592320010298863
140,2457479.48,bf,V,8.171,0.02,2067.216,38.037,57478.97999999998,0.06537599999137456
137,2457480.706,bf,V,8.251,0.02,1920.441,35.336,57480.20599999977,0.01086719983140938
86,2457486.649,bf,V,8.237,0.02,1945.6779999999999,35.8,57486.14900000021,0.5941088001709431
32,2457559.4480000003,bf,V,8.184,0.02,2043.204,37.595,57558.948000000324,0.7366976002522279
106,2457659.871,bf,V,8.292,0.02,1850.237,34.044000000000004,57659.37099999981,0.18291519986087224
36,2457667.848,bf,V,8.162,0.02,2084.52,38.355,57667.34800000023,0.3347776001828606
132,2457670.8419999997,bf,V,8.142000000000001,0.02,2123.867,39.079,57670.34199999971,0.6437503997876775
13,2457687.796,bf,V,8.383,0.02,1700.8129999999999,31.295,57687.29600000009,0.7186752000707202
131,2457689.79,bf,V,8.191,0.02,2030.9289999999999,37.369,57689.29000000004,0.25644800003647106
76,2457693.781,bf,V,8.105,0.02,2198.299,40.449,57693.28099999996,0.3343071999697713
88,2457698.784,bf,V,8.294,0.02,1846.905,33.983000000000004,57698.283999999985,0.1926208000004408
123,2457701.761,bf,V,8.07,0.02,2268.9770000000003,41.748999999999995,57701.26099999994,0.4884831999661401
111,2457707.775,bf,V,8.169,0.02,2071.988,38.125,57707.27499999991,0.12647999993350822
92,2457716.804,bf,V,8.272,0.02,1884.1129999999998,34.668,57716.304000000004,0.08964480000577169
75,2457720.788,bf,V,8.26,0.02,1904.5320000000002,35.043,57720.288000000175,0.1621056001386023
84,2457725.74,bf,V,8.179,0.02,2053.466,37.784,57725.24000000022,0.9810880001750775
110,2457726.762,bf,V,8.26,0.02,1904.8429999999998,35.049,57726.262000000104,0.7692544000819908
50,2457729.6890000002,bf,V,8.347000000000001,0.02,1758.6960000000001,32.36,57729.189000000246,0.026556800199614372
71,2457737.731,bf,V,8.127,0.02,2153.644,39.626999999999995,57737.231000000145,0.2285472001240123
109,2457740.703,bf,V,8.162,0.02,2084.38,38.353,57740.20300000021,0.5205536001740256
68,2457745.75,bf,V,8.076,0.02,2257.666,41.541000000000004,57745.25,0.4128000000055181
56,2457749.63,bf,V,8.231,0.02,1956.371,35.997,57749.12999999989,0.4050559999232064
2,2457752.741,bf,V,8.28,0.02,1870.547,34.418,57752.24099999992,0.8042591999474098
150,2457756.608,bf,V,8.058,0.02,2294.917,42.226000000000006,57756.10800000001,0.7864896000100998
146,2457757.6119999997,bf,V,8.334,0.02,1778.9720000000002,32.733000000000004,57757.11199999973,0.5607743997970829
81,2457758.597,bf,V,8.341000000000001,0.02,1768.047,32.532,57758.09700000007,0.32040640006016474
67,2457760.6040000003,bf,V,8.285,0.02,1861.908,34.259,57760.10400000028,0.8682048002228839
70,2457763.787,bf,V,8.115,0.02,2176.328,40.044000000000004,57763.28700000001,0.3229344000137644
57,2457764.66,bf,V,8.175,0.02,2059.514,37.895,57764.16000000015,0.9961920001223916
17,2457765.616,bf,V,8.373,0.02,1716.7279999999998,31.588,57765.11599999992,0.7334591999388067
135,2457768.794,bf,V,8.288,0.02,1856.109,34.152,57768.29400000023,0.18433280017779907
49,2457772.774,bf,V,8.301,0.02,1833.684,33.74,57772.27400000021,0.25370880016998854
134,2457775.819,bf,V,8.47,0.02,1569.743,28.883000000000003,57775.319000000134,0.6020128001109697
133,2457778.73,bf,V,8.338,0.02,1773.405,32.631,57778.22999999998,0.8469759999934467
85,2457781.529,bf,V,8.363,0.02,1731.86,31.866,57781.0290000001,0.0055648000779910944
14,2457783.5319999997,bf,V,8.371,0.02,1720.441,31.656,57783.03199999966,0.5502783997435472
80,2457789.652,bf,V,8.157,0.02,2094.862,38.545,57789.15199999977,0.2700223998326692
60,2457790.528,bf,V,8.146,0.02,2115.847,38.931999999999995,57790.02799999993,0.9455935999576468
1,2457791.849,bf,V,8.427,0.02,1633.434,30.055,57791.34899999993,0.9643487999564968
66,2457792.567,bf,V,8.119,0.02,2169.751,39.923,57792.066999999806,0.5180703998557874
7,2457795.5609999998,bf,V,8.184,0.02,2043.549,37.601,57795.060999999754,0.8270431998171262
124,2457798.807,bf,V,8.359,0.02,1738.775,31.993000000000002,57798.30700000003,0.3303584000314004
62,2457801.779,bf,V,8.414,0.02,1652.464,30.405,57801.2790000001,0.6223648000814137
52,2457802.82,bf,V,8.346,0.02,1759.65,32.378,57802.31999999983,0.42518399987602606
43,2457803.795,bf,V,8.205,0.02,2003.49,36.864000000000004,57803.294999999925,0.1771039999439381
125,2457806.7709999997,bf,V,8.34,0.02,1769.8020000000001,32.564,57806.27099999972,0.47219519978534663
35,2457812.58,bf,V,8.355,0.02,1745.717,32.121,57812.080000000075,0.9520960000663763
5,2457816.505,bf,V,8.15,0.02,2108.577,38.798,57816.00499999989,0.9790559999237303
23,2457817.792,bf,V,8.415,0.02,1651.578,30.389,57817.2919999999,0.9715903999240254
16,2457822.762,bf,V,8.251,0.02,1921.8039999999999,35.361,57822.262000000104,0.8044544000877067
4,2457823.643,bf,V,8.19,0.02,2031.421,37.378,57823.14300000016,0.48388160012837034
108,2457825.664,bf,V,8.266,0.02,1894.9920000000002,34.868,57825.16399999987,0.04247679991385667
91,2457828.741,bf,V,8.324,0.02,1796.7089999999998,33.059,57828.24099999992,0.41545919994678115
58,2457831.6969999997,bf,V,8.316,0.02,1810.023,33.304,57831.196999999695,0.6951263997761998
147,2457833.599,bf,V,8.221,0.02,1973.98,36.321,57833.09899999993,0.16194879995600786
55,2457835.705,bf,V,8.436,0.02,1620.461,29.816,57835.205000000075,0.7860960000616615
127,2457836.492,bf,V,8.156,0.02,2096.027,38.567,57835.992000000086,0.3930304000750766
101,2457837.7290000003,bf,V,8.339,0.02,1771.672,32.599000000000004,57837.22900000028,0.3470048002200201
12,2457840.73,bf,V,8.516,0.02,1504.494,27.683000000000003,57840.22999999998,0.6613759999891045
65,2457846.4869999997,bf,V,8.37,0.02,1722.094,31.686999999999998,57845.98699999973,0.10117439980240306
126,2457850.476,bf,V,8.25,0.02,1923.396,35.39,57849.97599999979,0.1774911998436437
53,2457853.581,bf,V,8.361,0.02,1736.379,31.949,57853.08099999977,0.5720671998278704
79,2457854.5919999997,bf,V,8.306000000000001,0.02,1826.239,33.603,57854.09199999971,0.3517503997863969
78,2457874.631,bf,V,8.369,0.02,1722.665,31.697,57874.13100000005,0.8058272000489524
155,2457913.514,bf,V,8.422,0.02,1641.4820000000002,30.203000000000003,57913.01399999997,0.7923967999740853
74,2457925.4790000003,bf,V,,0.02,715.975,13.174000000000001,57924.97900000028,0.01980480022757547
149,2458007.903,bf,V,8.292,0.02,1849.899,34.038000000000004,58007.40299999993,0.5851935999598936
31,2458012.897,bf,V,8.134,0.02,2138.6679999999997,39.351,58012.39699999988,0.4365663999124081
42,2458018.8880000003,bf,V,8.249,0.02,1924.473,35.41,58018.38800000027,0.056825600207957905
151,2458022.878,bf,V,8.394,0.02,1683.726,30.980999999999998,58022.378000000026,0.13391360002424335
83,2458032.852,bf,V,8.413,0.02,1655.029,30.453000000000003,58032.351999999955,0.8258623999790871
118,2458036.874,bf,V,8.316,0.02,1808.976,33.285,58036.373999999836,0.9276287998800399
115,2458041.827,bf,V,8.25,0.02,1922.4879999999998,35.374,58041.32700000005,0.7473824000408058
33,2458074.761,bf,V,8.374,0.02,1714.85,31.553,58074.26099999994,0.14608319995750207
19,2458077.79,bf,V,8.219,0.02,1977.892,36.393,58077.29000000004,0.4820480000344105
69,2458080.724,bf,V,8.136000000000001,0.02,2134.761,39.28,58080.22399999993,0.7447487999525038
64,2458085.742,bf,V,8.219,0.02,1978.067,36.396,58085.242000000086,0.6146304000722012
45,2458087.702,bf,V,8.265,0.02,1897.068,34.906,58087.20200000005,0.12618240004667314
136,2458095.7569999998,bf,V,8.271,0.02,1886.358,34.709,58095.25699999975,0.33819839981151745
26,2458102.659,bf,V,8.388,0.02,1693.707,31.164,58102.158999999985,0.6610207999983686
40,2458104.734,bf,V,8.192,0.02,2027.91,37.314,58104.23400000017,0.2612608001436456
29,2458119.651,bf,V,8.211,0.02,1992.3329999999999,36.659,58119.15100000007,0.7652512000640854
9,2458120.653,bf,V,8.577,0.02,1422.644,26.177,58120.15299999993,0.5379935999590089
93,2458121.706,bf,V,8.404,0.02,1668.1529999999998,30.694000000000003,58121.20599999977,0.3500671998335747
28,2458153.813,bf,V,8.346,0.02,1759.6470000000002,32.376999999999995,58153.31300000008,0.11098560006939806
63,2458157.719,bf,V,8.277000000000001,0.02,1875.112,34.501999999999995,58157.21900000004,0.12329280003905296
143,2458159.642,bf,V,8.368,0.02,1724.598,31.733,58159.14199999999,0.6063103999986197
73,2458161.682,bf,V,8.366,0.02,1727.3129999999999,31.783,58161.18200000003,0.17955840003560297
39,2458163.7,bf,V,8.169,0.02,2072.1079999999997,38.126999999999995,58163.200000000186,0.7358400001539849
98,2458164.519,bf,V,8.275,0.02,1878.2479999999998,34.56,58164.018999999855,0.36745279989554547
105,2458165.55,bf,V,8.419,0.02,1645.351,30.274,58165.049999999814,0.1625599998587859
8,2458166.537,bf,V,8.253,0.02,1916.789,35.269,58166.03700000001,0.9237344000139274
107,2458167.548,bf,V,8.394,0.02,1683.632,30.979,58167.04799999995,0.7034175999724539
100,2458170.748,bf,V,8.269,0.02,1888.922,34.756,58170.24800000014,0.17125760011549573
22,2458171.517,bf,V,8.085,0.02,2238.435,41.187,58171.01699999999,0.7643104000017047
41,2458172.548,bf,V,8.427999999999999,0.02,1632.442,30.037,58172.04799999995,0.5594175999722211
72,2458173.769,bf,V,8.275,0.02,1879.614,34.585,58173.268999999855,0.5010527998965699
10,2458174.707,bf,V,8.311,0.02,1817.6760000000002,33.445,58174.20699999994,0.22443839995685266
154,2458175.627,bf,V,8.363999999999999,0.02,1731.332,31.857,58175.12699999986,0.9339423998972052
21,2458176.679,bf,V,8.327,0.02,1791.154,32.957,58176.179000000004,0.7452448000112781
122,2458178.688,bf,V,8.234,0.02,1950.889,35.896,58178.18800000008,0.29458560006605694
117,2458179.5069999998,bf,V,8.299,0.02,1837.0410000000002,33.802,58179.00699999975,0.9261983998076175
25,2458181.637,bf,V,8.234,0.02,1950.765,35.894,58181.137000000104,0.56885440008773
148,2458183.627,bf,V,8.427999999999999,0.02,1631.618,30.022,58183.12699999986,0.1035423999055638
104,2458185.591,bf,V,8.457,0.02,1588.9,29.236,58185.091000000015,0.6181792000206769
96,2458188.673,bf,V,8.485,0.02,1548.3029999999999,28.489,58188.17299999995,0.9950175999620114
48,2458189.727,bf,V,8.192,0.02,2028.868,37.330999999999996,58189.226999999955,0.807862399968144
153,2458191.775,bf,V,8.427,0.02,1634.1370000000002,30.068,58191.27499999991,0.3872799999298877
34,2458192.558,bf,V,8.232000000000001,0.02,1955.6960000000001,35.985,58192.058000000194,0.9911296001519077
95,2458194.7430000002,bf,V,8.213,0.02,1989.003,36.598,58194.24300000025,0.6762016002030578
113,2458196.7369999997,bf,V,8.24,0.02,1939.915,35.694,58196.23699999973,0.21397439980501076
38,2458198.747,bf,V,8.626,0.02,1359.861,25.021,58198.246999999974,0.7640863999913563
99,2458199.65,bf,V,8.297,0.02,1840.451,33.864000000000004,58199.14999999991,0.46047999993606936
89,2458201.744,bf,V,8.492,0.02,1538.425,28.307,58201.24399999995,0.07537279996904545
54,2458203.719,bf,V,8.495,0.02,1534.925,28.243000000000002,58203.21900000004,0.5984928000398213
82,2458205.7369999997,bf,V,8.43,0.02,1629.307,29.979,58205.23699999973,0.15477439980168128
20,2458207.727,bf,V,8.259,0.02,1907.023,35.089,58207.226999999955,0.689462399968761
90,2458208.693,bf,V,8.417,0.02,1648.0179999999998,30.324,58208.19299999997,0.4344415999876219
141,2458209.543,bf,V,8.452,0.02,1596.4089999999999,29.374000000000002,58209.04300000006,0.08996160005335696
11,2458210.6040000003,bf,V,8.299,0.02,1837.122,33.803000000000004,58210.10400000028,0.908204800223757
94,2458212.685,bf,V,8.299,0.02,1838.3310000000001,33.825,58212.185000000056,0.5130720000524889
0,2458213.635,bf,V,8.432,0.02,1625.7089999999998,29.913,58213.13499999978,0.24571199982892722
77,2458215.557,bf,V,8.125,0.02,2156.45,39.679,58215.05700000003,0.727958400028001
145,2458216.567,bf,V,8.402999999999999,0.02,1670.506,30.737,58216.066999999806,0.5068703998622368
61,2458220.679,bf,V,8.329,0.02,1787.0479999999998,32.882,58220.179000000004,0.6780448000135948
130,2458222.688,bf,V,8.224,0.02,1969.476,36.238,58222.18800000008,0.22738560007564956
97,2458223.619,bf,V,8.227,0.02,1963.6689999999999,36.132,58223.11899999995,0.9453727999643888
37,2458224.649,bf,V,8.478,0.02,1559.215,28.69,58224.14900000021,0.7397088001671364
30,2458225.61,bf,V,8.25,0.02,1922.0629999999999,35.366,58225.10999999987,0.4808319998992374
103,2458227.582,bf,V,8.385,0.02,1697.5929999999998,31.236,58227.08199999994,0.001638399960938841
121,2458229.668,bf,V,8.427,0.02,1633.122,30.049,58229.16800000006,0.6103616000546026
15,2458235.652,bf,V,8.58,0.02,1418.142,26.094,58235.15199999977,0.22522239982936298
112,2458238.524,bf,V,8.269,0.02,1889.638,34.769,58238.02400000021,0.44010880016867304
44,2458243.633,bf,V,8.402000000000001,0.02,1671.4820000000002,30.755,58243.132999999914,0.38016959994274657
144,2458244.628,bf,V,8.422,0.02,1640.55,30.186,58244.128000000026,0.14751360002992442
87,2458301.451,bf,V,,0.02,699.515,12.870999999999999,58300.950999999885,0.9694111999197048
152,2458369.913,bf,V,8.198,0.02,2017.1960000000001,37.116,58369.413000000175,0.7673056001440273
114,2458370.91,bf,V,8.127,0.02,2153.225,39.619,58370.41000000015,0.5361920001232647
139,2458371.906,bf,V,8.294,0.02,1846.1670000000001,33.969,58371.40599999996,0.30430719997093547
129,2458375.8959999997,bf,V,8.203,0.02,2008.477,36.955999999999996,58375.39599999972,0.3813951997872209
46,2458376.897,bf,V,8.125,0.02,2156.5820000000003,39.681,58376.39699999988,0.1533663999143755
59,2458385.891,bf,V,8.318999999999999,0.02,1803.6129999999998,33.186,58385.39099999983,0.08953919987834524
