,mag,magerr,mjd
0,12.718,99.99,57582.31294000009
1,11.228,0.02,56681.52857999969
2,12.745999999999999,99.99,57137.28929000022
3,12.765,99.99,57156.43307999987
4,8.259,0.02,57528.38205999974
5,12.749,99.99,57206.36110999994
6,7.442,0.02,57502.45069999993
7,9.559,0.02,57762.57592000021
8,12.75,99.99,57194.346750000026
9,10.615,0.02,57127.52108999994
10,7.841,0.02,57479.43307000026
11,12.77,99.99,57789.583149999846
12,7.85,0.02,57038.627900000196
13,12.685,99.99,57877.434940000065
14,12.745,99.99,57183.30915999971
15,12.599,99.99,57816.43775999965
16,9.963,0.02,57114.39610999962
17,8.872,0.02,56348.60154000018
18,12.752,99.99,57196.38822000008
19,12.672,99.99,57806.59749000007
20,7.9270000000000005,0.02,56812.36248000013
21,12.624,99.99,57852.58282000013
22,7.6770000000000005,0.02,57053.573540000245
23,7.2829999999999995,0.02,57492.50836999994
24,12.753,99.99,57188.35509999981
25,8.549,0.02,56865.28354000021
26,8.884,0.02,57099.549679999705
27,12.610999999999999,99.99,57818.43445999967
28,12.144,0.02,56519.23875000002
29,12.704,99.99,56511.25934000034
30,12.694,99.99,57395.61822000006
31,7.572,0.02,56826.408520000055
32,8.19,0.02,57031.601460000034
33,10.769,0.02,57901.465650000144
34,8.445,0.02,57967.257900000084
35,9.8,0.02,57237.2655199999
36,9.083,0.02,57102.49905999983
37,7.6,0.02,57061.54163999995
38,12.603,99.99,57817.43422000017
39,7.622999999999999,0.02,57514.24722999986
40,8.538,0.02,57023.617579999845
41,9.232999999999999,0.02,57008.64184999978
42,12.68,99.99,56735.36043999996
43,7.6979999999999995,0.02,57055.56995999999
44,12.638,99.99,57825.470350000076
45,7.581,0.02,56832.37187999999
46,12.77,99.99,57422.62378000002
47,12.665,99.99,58336.250399999786
48,7.875,0.02,57077.52703
49,12.61,99.99,57153.35495999968
50,9.301,0.02,57448.474040000234
51,12.460999999999999,0.02,56736.405150000006
52,7.7410000000000005,0.02,56817.44995999988
53,9.709,0.02,57110.366559999995
54,8.656,0.02,57535.46506999992
55,9.109,0.02,57542.444090000354
56,11.344000000000001,0.02,57561.38535000011
57,12.765999999999998,99.99,57576.3448900003
58,7.604,0.02,57046.575320000295
59,12.73,99.99,57178.317799999844
60,12.665999999999999,99.99,57607.24732999969
61,8.936,0.02,56797.48622999992
62,12.597000000000001,99.99,57819.430909999646
63,7.62,0.02,57044.58342000004
64,7.721,0.02,57042.61652999977
65,9.065,0.02,57101.39971000003
66,12.74,99.99,57191.36514000036
67,12.765,99.99,57171.41277000029
68,8.682,0.02,57972.25145999994
69,12.671,99.99,57379.625719999894
70,7.63,0.02,57482.52090999996
71,12.751,99.99,57181.43092000019
72,7.556,0.02,56828.41899000015
73,12.193,99.99,57874.28998999996
74,12.672,99.99,57391.59352999972
75,10.622,0.02,57436.47383000003
76,7.544,0.02,56829.395779999904
77,8.604,0.02,57462.526859999634
78,12.602,99.99,58321.28224000009
79,12.751,99.99,57786.53267999971
80,11.091,0.02,57895.474580000155
81,7.7860000000000005,0.02,57040.58376999991
82,12.664000000000001,99.99,57398.57804000005
83,12.554,99.99,57847.342870000284
84,12.761,99.99,57160.43828999996
85,12.671,99.99,57408.54921999993
86,12.630999999999998,99.99,57848.521569999866
87,10.981,0.02,57222.30665000016
88,12.742,99.99,56756.30445999978
89,12.686,99.99,57604.25662000012
90,12.765,99.99,56758.299320000224
91,12.755,99.99,57167.36345999967
92,9.168,0.02,57452.441399999894
93,7.709,0.02,56818.43451000005
94,12.642000000000001,99.99,57829.611980000045
95,9.551,0.02,57108.44458999997
96,12.599,99.99,57869.43644000031
97,7.405,0.02,57498.51789999986
98,10.834000000000001,0.02,57782.62179999985
99,9.334,0.02,56787.413929999806
100,12.712,99.99,57581.30744000012
101,8.023,0.02,56855.28695999971
102,12.194,99.99,57855.204279999714
103,8.613,0.02,56866.28089000005
104,9.55,0.02,57549.38847999973
105,8.087,0.02,57080.48141000001
106,11.359000000000002,0.02,57893.402290000115
107,12.582,99.99,57850.339470000006
108,9.573,0.02,57105.42947999993
109,7.569,0.02,57511.43094999995
110,10.24,0.02,57122.43744000001
111,11.124,0.02,58220.41445999965
112,7.67,0.02,57069.54236999992
113,8.651,0.02,56868.27361000003
114,11.794,0.02,57574.33510999987
115,7.569,0.02,56827.40090999985
116,11.832,0.02,56490.29094999982
117,8.315,0.02,56357.5354299997
118,8.165,0.02,57083.4715499999
119,8.732999999999999,0.02,57927.390279999934
120,8.546,0.02,57465.40058000013
121,12.753,99.99,57185.368819999974
122,11.684000000000001,0.02,56486.28694000002
123,12.690999999999999,99.99,57884.49701000005
124,12.168,0.02,57428.54657000024
125,12.700999999999999,99.99,57387.62555
126,11.072000000000001,0.02,56757.352669999935
127,8.757,0.02,56800.478870000225
128,11.243,0.02,57897.471340000164
129,12.692,99.99,57802.592240000144
130,9.809,0.02,56778.43955999985
131,9.651,0.02,57444.50314000016
132,12.038,99.99,58244.24552999996
133,9.427,0.02,57446.575659999624
134,12.78,99.99,57210.31484000012
135,12.748,99.99,57424.563850000035
136,8.04,0.02,57938.30725000007
137,8.805,0.02,57096.40491000004
138,12.542,99.99,57830.39610999962
139,8.383,0.02,56411.544040000066
140,10.29,0.02,57562.28567000013
141,11.709000000000001,0.02,56476.29930000007
142,7.915,0.02,57520.25314999977
143,7.9239999999999995,0.02,57036.57267999975
144,10.198,0.02,57439.47152999975
145,7.452999999999999,0.02,57506.43679000018
146,12.657,99.99,57882.34470999986
147,12.729000000000001,99.99,57164.34318999993
148,8.083,0.02,56856.29728000006
149,8.187999999999999,0.02,56358.54004000034
150,9.833,0.02,57766.59074000036
151,10.485,0.02,57125.54991000006
152,8.597000000000001,0.02,56803.47503999993
153,12.661,99.99,57834.585979999974
154,12.690999999999999,99.99,56740.352380000055
155,10.055,0.02,56993.65824000025
156,10.912,0.02,56464.32131000003
157,12.704,99.99,57403.603300000075
158,12.684000000000001,99.99,57601.26203999994
159,9.435,0.02,57547.41791999992
160,12.72,99.99,56700.46359000029
161,12.744000000000002,99.99,57419.59947999986
162,12.744000000000002,99.99,56751.32175999973
163,7.407,0.02,57488.42773000011
164,11.639000000000001,0.02,56741.41717000026
165,9.988,0.02,57917.41231000004
166,10.055,0.02,56777.56850999966
167,12.6,99.99,57863.51023000013
168,9.997,0.02,57442.460789999925
169,11.485999999999999,0.02,56682.519340000115
170,11.561,0.02,57900.461230000015
171,10.405,0.02,57228.26294000028
172,10.171,0.02,57774.617800000124
173,7.63,0.02,57068.4965400002
174,10.677999999999999,0.02,57898.47170999972
175,10.745,0.02,57778.57029999979
176,12.685,99.99,57411.54294000007
177,8.544,0.02,57930.34520999994
178,10.77,0.02,57903.28753999993
179,11.134,0.02,56675.51634000009
180,8.118,0.02,57957.26811000006
181,12.78,99.99,57149.32814999996
182,9.298,0.02,57546.414940000046
183,12.125,99.99,58240.2932099998
184,7.587999999999999,0.02,56824.41814999981
185,10.856,0.02,57568.27289000014
186,12.555,99.99,58294.29382000025
187,12.064,99.99,58243.27590999985
188,12.729000000000001,99.99,57793.50155000016
189,8.718,0.02,57537.41255999962
190,12.694,99.99,57592.27335999999
191,12.597000000000001,99.99,57840.45087000029
192,12.717,99.99,57416.560229999945
193,12.364,0.02,57208.33321999991
194,10.892000000000001,0.02,57130.43569000019
195,11.497,0.02,57138.35112999985
196,12.686,99.99,57369.64592000004
197,8.039,0.02,57945.32695000013
198,12.673,99.99,57401.56819000002
199,7.763999999999999,0.02,56816.44219000032
200,8.844,0.02,57098.566079999786
201,8.099,0.02,56405.42602999974
202,10.802999999999999,0.02,56676.51747999992
203,7.664,0.02,57049.57757999981
204,12.729000000000001,99.99,57413.58169999998
205,12.694,99.99,57409.580000000075
206,9.127,0.02,57755.61593999993
207,12.184000000000001,99.99,58241.25331000006
