Modified Julian Day,Magnitude,phase,mjd
53769.0,19.9544085,0.5076910940406378,53769.54179639485
53770.0,,,
53771.0,,,
53772.0,,,
53773.0,,,
53774.0,,,
53775.0,,,
53776.0,,,
53777.0,,,
53778.0,,,
53779.0,,,
53780.0,,,
53781.0,,,
53782.0,,,
53783.0,,,
53784.0,,,
53785.0,,,
53786.0,,,
53787.0,,,
53788.0,,,
53789.0,,,
53790.0,,,
53791.0,,,
53792.0,,,
53793.0,,,
53794.0,,,
53795.0,,,
53796.0,,,
53797.0,,,
53798.0,,,
53799.0,,,
53800.0,,,
53801.0,,,
53802.0,,,
53803.0,,,
53804.0,,,
53805.0,,,
53806.0,,,
53807.0,,,
53808.0,,,
53809.0,,,
53810.0,,,
53811.0,,,
53812.0,,,
53813.0,,,
53814.0,,,
53815.0,,,
53816.0,,,
53817.0,,,
53818.0,,,
53819.0,,,
53820.0,,,
53821.0,,,
53822.0,,,
53823.0,,,
53824.0,,,
53825.0,,,
53826.0,,,
53827.0,,,
53828.0,,,
53829.0,,,
53830.0,,,
53831.0,,,
53832.0,,,
53833.0,,,
53834.0,,,
53835.0,,,
53836.0,,,
53837.0,,,
53838.0,,,
53839.0,,,
53840.0,,,
53841.0,,,
53842.0,,,
53843.0,,,
53844.0,,,
53845.0,,,
53846.0,,,
53847.0,,,
53848.0,,,
53849.0,,,
53850.0,,,
53851.0,,,
53852.0,,,
53853.0,,,
53854.0,,,
53855.0,,,
53856.0,,,
53857.0,,,
53858.0,,,
53859.0,,,
53860.0,,,
53861.0,,,
53862.0,,,
53863.0,,,
53864.0,,,
53865.0,,,
53866.0,,,
53867.0,,,
53868.0,,,
53869.0,,,
53870.0,,,
53871.0,,,
53872.0,,,
53873.0,,,
53874.0,,,
53875.0,,,
53876.0,,,
53877.0,,,
53878.0,,,
53879.0,,,
53880.0,,,
53881.0,,,
53882.0,,,
53883.0,,,
53884.0,19.834118,0.763083005156659,53884.32341890632
53885.0,,,
53886.0,,,
53887.0,,,
53888.0,,,
53889.0,,,
53890.0,,,
53891.0,,,
53892.0,,,
53893.0,,,
53894.0,,,
53895.0,,,
53896.0,,,
53897.0,,,
53898.0,,,
53899.0,,,
53900.0,,,
53901.0,,,
53902.0,,,
53903.0,,,
53904.0,,,
53905.0,,,
53906.0,,,
53907.0,,,
53908.0,,,
53909.0,,,
53910.0,,,
53911.0,,,
53912.0,,,
53913.0,,,
53914.0,,,
53915.0,,,
53916.0,,,
53917.0,,,
53918.0,,,
53919.0,,,
53920.0,,,
53921.0,,,
53922.0,,,
53923.0,,,
53924.0,,,
53925.0,,,
53926.0,,,
53927.0,,,
53928.0,,,
53929.0,,,
53930.0,,,
53931.0,,,
53932.0,,,
53933.0,,,
53934.0,,,
53935.0,,,
53936.0,,,
53937.0,,,
53938.0,,,
53939.0,,,
53940.0,,,
53941.0,,,
53942.0,,,
53943.0,,,
53944.0,,,
53945.0,,,
53946.0,,,
53947.0,,,
53948.0,,,
53949.0,,,
53950.0,,,
53951.0,,,
53952.0,,,
53953.0,,,
53954.0,,,
53955.0,,,
53956.0,,,
53957.0,,,
53958.0,,,
53959.0,,,
53960.0,,,
53961.0,,,
53962.0,,,
53963.0,,,
53964.0,,,
53965.0,,,
53966.0,,,
53967.0,,,
53968.0,,,
53969.0,,,
53970.0,,,
53971.0,,,
53972.0,,,
53973.0,,,
53974.0,,,
53975.0,,,
53976.0,,,
53977.0,,,
53978.0,,,
53979.0,,,
53980.0,,,
53981.0,,,
53982.0,,,
53983.0,,,
53984.0,,,
53985.0,,,
53986.0,,,
53987.0,,,
53988.0,,,
53989.0,,,
53990.0,,,
53991.0,,,
53992.0,,,
53993.0,,,
53994.0,,,
53995.0,,,
53996.0,,,
53997.0,,,
53998.0,,,
53999.0,,,
54000.0,,,
54001.0,19.46491275,0.3494361996781663,54001.11102400465
54002.0,,,
54003.0,,,
54004.0,,,
54005.0,,,
54006.0,,,
54007.0,,,
54008.0,,,
54009.0,,,
54010.0,,,
54011.0,,,
54012.0,,,
54013.0,,,
54014.0,,,
54015.0,,,
54016.0,,,
54017.0,,,
54018.0,,,
54019.0,,,
54020.0,,,
54021.0,,,
54022.0,,,
54023.0,,,
54024.0,,,
54025.0,,,
54026.0,,,
54027.0,,,
54028.0,,,
54029.0,,,
54030.0,,,
54031.0,,,
54032.0,,,
54033.0,,,
54034.0,,,
54035.0,,,
54036.0,,,
54037.0,,,
54038.0,,,
54039.0,,,
54040.0,,,
54041.0,,,
54042.0,,,
54043.0,,,
54044.0,,,
54045.0,,,
54046.0,,,
54047.0,,,
54048.0,,,
54049.0,,,
54050.0,,,
54051.0,,,
54052.0,,,
54053.0,,,
54054.0,,,
54055.0,,,
54056.0,,,
54057.0,,,
54058.0,,,
54059.0,,,
54060.0,,,
54061.0,,,
54062.0,,,
54063.0,,,
54064.0,,,
54065.0,,,
54066.0,,,
54067.0,,,
54068.0,,,
54069.0,,,
54070.0,,,
54071.0,,,
54072.0,,,
54073.0,,,
54074.0,,,
54075.0,,,
54076.0,,,
54077.0,,,
54078.0,,,
54079.0,,,
54080.0,,,
54081.0,,,
54082.0,,,
54083.0,,,
54084.0,,,
54085.0,,,
54086.0,,,
54087.0,,,
54088.0,,,
54089.0,,,
54090.0,,,
54091.0,,,
54092.0,,,
54093.0,,,
54094.0,,,
54095.0,,,
54096.0,,,
54097.0,,,
54098.0,,,
54099.0,,,
54100.0,,,
54101.0,,,
54102.0,,,
54103.0,,,
54104.0,,,
54105.0,,,
54106.0,,,
54107.0,,,
54108.0,,,
54109.0,,,
54110.0,,,
54111.0,,,
54112.0,,,
54113.0,,,
54114.0,,,
54115.0,,,
54116.0,,,
54117.0,,,
54118.0,,,
54119.0,,,
54120.0,,,
54121.0,,,
54122.0,,,
54123.0,,,
54124.0,,,
54125.0,,,
54126.0,,,
54127.0,,,
54128.0,,,
54129.0,,,
54130.0,,,
54131.0,,,
54132.0,,,
54133.0,,,
54134.0,,,
54135.0,,,
54136.0,,,
54137.0,,,
54138.0,20.066405333333332,0.963853398852128,54138.502950976166
54139.0,,,
54140.0,,,
54141.0,,,
54142.0,,,
54143.0,,,
54144.0,,,
54145.0,,,
54146.0,,,
54147.0,,,
54148.0,,,
54149.0,,,
54150.0,,,
54151.0,,,
54152.0,,,
54153.0,,,
54154.0,,,
54155.0,,,
54156.0,,,
54157.0,,,
54158.0,19.978930000000002,0.7988379021480796,54158.4123895458
54159.0,,,
54160.0,,,
54161.0,,,
54162.0,,,
54163.0,,,
54164.0,,,
54165.0,,,
54166.0,,,
54167.0,,,
54168.0,,,
54169.0,,,
54170.0,,,
54171.0,,,
54172.0,,,
54173.0,,,
54174.0,,,
54175.0,,,
54176.0,,,
54177.0,,,
54178.0,19.90782533333333,0.18698903050002022,54178.49710049
54179.0,,,
54180.0,,,
54181.0,,,
54182.0,,,
54183.0,,,
54184.0,,,
54185.0,,,
54186.0,,,
54187.0,,,
54188.0,,,
54189.0,,,
54190.0,,,
54191.0,,,
54192.0,,,
54193.0,,,
54194.0,,,
54195.0,,,
54196.0,,,
54197.0,,,
54198.0,,,
54199.0,,,
54200.0,,,
54201.0,,,
54202.0,,,
54203.0,,,
54204.0,,,
54205.0,,,
54206.0,,,
54207.0,,,
54208.0,19.9564365,0.38403056538663805,54208.3436935417
54209.0,,,
54210.0,,,
54211.0,,,
54212.0,,,
54213.0,,,
54214.0,,,
54215.0,,,
54216.0,19.877894666666666,0.9455597496125847,54216.44293473771
54217.0,,,
54218.0,,,
54219.0,,,
54220.0,,,
54221.0,,,
54222.0,,,
54223.0,,,
54224.0,,,
54225.0,,,
54226.0,,,
54227.0,,,
54228.0,,,
54229.0,,,
54230.0,,,
54231.0,,,
54232.0,,,
54233.0,,,
54234.0,,,
54235.0,,,
54236.0,,,
54237.0,,,
54238.0,20.033258,0.1023637863593952,54238.355459305436
54239.0,,,
54240.0,,,
54241.0,,,
54242.0,,,
54243.0,,,
54244.0,,,
54245.0,,,
54246.0,,,
54247.0,,,
54248.0,,,
54249.0,,,
54250.0,,,
54251.0,,,
54252.0,,,
54253.0,,,
54254.0,,,
54255.0,,,
54256.0,,,
54257.0,,,
54258.0,,,
54259.0,,,
54260.0,,,
54261.0,,,
54262.0,,,
54263.0,,,
54264.0,,,
54265.0,,,
54266.0,19.703197000000003,0.12181277328636497,54266.24466507815
54267.0,,,
54268.0,,,
54269.0,,,
54270.0,,,
54271.0,,,
54272.0,,,
54273.0,,,
54274.0,,,
54275.0,,,
54276.0,19.997859,0.702984182848013,54276.2512465567
54277.0,,,
54278.0,,,
54279.0,,,
54280.0,,,
54281.0,,,
54282.0,,,
54283.0,,,
54284.0,,,
54285.0,,,
54286.0,,,
54287.0,,,
54288.0,,,
54289.0,,,
54290.0,,,
54291.0,,,
54292.0,,,
54293.0,,,
54294.0,,,
54295.0,,,
54296.0,,,
54297.0,,,
54298.0,,,
54299.0,,,
54300.0,,,
54301.0,,,
54302.0,,,
54303.0,,,
54304.0,,,
54305.0,,,
54306.0,,,
54307.0,,,
54308.0,,,
54309.0,,,
54310.0,,,
54311.0,,,
54312.0,,,
54313.0,,,
54314.0,,,
54315.0,,,
54316.0,,,
54317.0,,,
54318.0,,,
54319.0,,,
54320.0,,,
54321.0,,,
54322.0,,,
54323.0,,,
54324.0,,,
54325.0,,,
54326.0,,,
54327.0,,,
54328.0,,,
54329.0,,,
54330.0,,,
54331.0,,,
54332.0,,,
54333.0,,,
54334.0,,,
54335.0,,,
54336.0,,,
54337.0,,,
54338.0,,,
54339.0,,,
54340.0,,,
54341.0,,,
54342.0,,,
54343.0,,,
54344.0,,,
54345.0,,,
54346.0,,,
54347.0,,,
54348.0,,,
54349.0,,,
54350.0,,,
54351.0,,,
54352.0,,,
54353.0,,,
54354.0,,,
54355.0,,,
54356.0,,,
54357.0,,,
54358.0,,,
54359.0,,,
54360.0,,,
54361.0,,,
54362.0,,,
54363.0,,,
54364.0,,,
54365.0,,,
54366.0,,,
54367.0,,,
54368.0,,,
54369.0,,,
54370.0,,,
54371.0,,,
54372.0,,,
54373.0,,,
54374.0,,,
54375.0,,,
54376.0,,,
54377.0,,,
54378.0,,,
54379.0,,,
54380.0,,,
54381.0,,,
54382.0,,,
54383.0,,,
54384.0,,,
54385.0,,,
54386.0,,,
54387.0,,,
54388.0,,,
54389.0,,,
54390.0,,,
54391.0,,,
54392.0,,,
54393.0,,,
54394.0,,,
54395.0,,,
54396.0,,,
54397.0,,,
54398.0,,,
54399.0,,,
54400.0,,,
54401.0,,,
54402.0,,,
54403.0,,,
54404.0,,,
54405.0,,,
54406.0,,,
54407.0,,,
54408.0,,,
54409.0,,,
54410.0,,,
54411.0,,,
54412.0,,,
54413.0,,,
54414.0,,,
54415.0,,,
54416.0,,,
54417.0,,,
54418.0,,,
54419.0,,,
54420.0,,,
54421.0,,,
54422.0,,,
54423.0,,,
54424.0,,,
54425.0,,,
54426.0,,,
54427.0,,,
54428.0,,,
54429.0,,,
54430.0,,,
54431.0,,,
54432.0,,,
54433.0,,,
54434.0,,,
54435.0,,,
54436.0,,,
54437.0,,,
54438.0,,,
54439.0,,,
54440.0,,,
54441.0,,,
54442.0,,,
54443.0,,,
54444.0,,,
54445.0,,,
54446.0,,,
54447.0,,,
54448.0,,,
54449.0,,,
54450.0,,,
54451.0,,,
54452.0,,,
54453.0,,,
54454.0,,,
54455.0,,,
54456.0,,,
54457.0,,,
54458.0,,,
54459.0,,,
54460.0,,,
54461.0,,,
54462.0,,,
54463.0,,,
54464.0,,,
54465.0,,,
54466.0,,,
54467.0,,,
54468.0,,,
54469.0,,,
54470.0,,,
54471.0,,,
54472.0,,,
54473.0,,,
54474.0,,,
54475.0,,,
54476.0,,,
54477.0,,,
54478.0,,,
54479.0,,,
54480.0,,,
54481.0,,,
54482.0,,,
54483.0,,,
54484.0,,,
54485.0,,,
54486.0,,,
54487.0,,,
54488.0,,,
54489.0,,,
54490.0,,,
54491.0,,,
54492.0,,,
54493.0,,,
54494.0,,,
54495.0,,,
54496.0,,,
54497.0,,,
54498.0,,,
54499.0,,,
54500.0,,,
54501.0,,,
54502.0,,,
54503.0,,,
54504.0,,,
54505.0,,,
54506.0,,,
54507.0,,,
54508.0,,,
54509.0,,,
54510.0,,,
54511.0,,,
54512.0,,,
54513.0,,,
54514.0,,,
54515.0,,,
54516.0,,,
54517.0,,,
54518.0,,,
54519.0,,,
54520.0,,,
54521.0,,,
54522.0,,,
54523.0,,,
54524.0,,,
54525.0,,,
54526.0,,,
54527.0,,,
54528.0,,,
54529.0,,,
54530.0,,,
54531.0,,,
54532.0,,,
54533.0,,,
54534.0,,,
54535.0,,,
54536.0,,,
54537.0,,,
54538.0,19.80018,0.27414823747676564,54538.46945800352
54539.0,,,
54540.0,,,
54541.0,,,
54542.0,,,
54543.0,,,
54544.0,,,
54545.0,,,
54546.0,,,
54547.0,,,
54548.0,,,
54549.0,,,
54550.0,,,
54551.0,,,
54552.0,,,
54553.0,,,
54554.0,,,
54555.0,,,
54556.0,,,
54557.0,,,
54558.0,,,
54559.0,,,
54560.0,,,
54561.0,,,
54562.0,,,
54563.0,,,
54564.0,,,
54565.0,,,
54566.0,,,
54567.0,,,
54568.0,,,
54569.0,,,
54570.0,,,
54571.0,,,
54572.0,,,
54573.0,,,
54574.0,,,
54575.0,,,
54576.0,,,
54577.0,,,
54578.0,,,
54579.0,,,
54580.0,,,
54581.0,,,
54582.0,,,
54583.0,,,
54584.0,,,
54585.0,,,
54586.0,,,
54587.0,,,
54588.0,,,
54589.0,,,
54590.0,,,
54591.0,,,
54592.0,,,
54593.0,,,
54594.0,,,
54595.0,,,
54596.0,,,
54597.0,,,
54598.0,,,
54599.0,,,
54600.0,,,
54601.0,,,
54602.0,,,
54603.0,,,
54604.0,,,
54605.0,,,
54606.0,,,
54607.0,,,
54608.0,,,
54609.0,,,
54610.0,,,
54611.0,,,
54612.0,,,
54613.0,,,
54614.0,,,
54615.0,,,
54616.0,,,
54617.0,,,
54618.0,,,
54619.0,,,
54620.0,,,
54621.0,,,
54622.0,,,
54623.0,,,
54624.0,,,
54625.0,,,
54626.0,,,
54627.0,,,
54628.0,,,
54629.0,,,
54630.0,,,
54631.0,,,
54632.0,,,
54633.0,,,
54634.0,,,
54635.0,,,
54636.0,,,
54637.0,,,
54638.0,,,
54639.0,,,
54640.0,,,
54641.0,,,
54642.0,,,
54643.0,,,
54644.0,,,
54645.0,,,
54646.0,,,
54647.0,,,
54648.0,,,
54649.0,,,
54650.0,,,
54651.0,,,
54652.0,,,
54653.0,,,
54654.0,,,
54655.0,,,
54656.0,,,
54657.0,,,
54658.0,,,
54659.0,,,
54660.0,,,
54661.0,,,
54662.0,,,
54663.0,,,
54664.0,,,
54665.0,,,
54666.0,,,
54667.0,,,
54668.0,,,
54669.0,,,
54670.0,,,
54671.0,,,
54672.0,,,
54673.0,,,
54674.0,,,
54675.0,,,
54676.0,,,
54677.0,,,
54678.0,,,
54679.0,,,
54680.0,,,
54681.0,,,
54682.0,,,
54683.0,,,
54684.0,,,
54685.0,,,
54686.0,,,
54687.0,,,
54688.0,,,
54689.0,,,
54690.0,,,
54691.0,,,
54692.0,,,
54693.0,,,
54694.0,,,
54695.0,,,
54696.0,,,
54697.0,,,
54698.0,,,
54699.0,,,
54700.0,,,
54701.0,,,
54702.0,,,
54703.0,,,
54704.0,,,
54705.0,,,
54706.0,,,
54707.0,,,
54708.0,,,
54709.0,,,
54710.0,,,
54711.0,,,
54712.0,,,
54713.0,,,
54714.0,,,
54715.0,,,
54716.0,,,
54717.0,,,
54718.0,,,
54719.0,,,
54720.0,,,
54721.0,,,
54722.0,,,
54723.0,,,
54724.0,,,
54725.0,,,
54726.0,,,
54727.0,,,
54728.0,,,
54729.0,,,
54730.0,,,
54731.0,,,
54732.0,,,
54733.0,,,
54734.0,,,
54735.0,,,
54736.0,,,
54737.0,,,
54738.0,,,
54739.0,,,
54740.0,,,
54741.0,,,
54742.0,,,
54743.0,,,
54744.0,,,
54745.0,,,
54746.0,,,
54747.0,,,
54748.0,,,
54749.0,,,
54750.0,,,
54751.0,,,
54752.0,,,
54753.0,,,
54754.0,,,
54755.0,,,
54756.0,,,
54757.0,,,
54758.0,,,
54759.0,,,
54760.0,,,
54761.0,,,
54762.0,,,
54763.0,,,
54764.0,,,
54765.0,,,
54766.0,,,
54767.0,,,
54768.0,,,
54769.0,,,
54770.0,,,
54771.0,,,
54772.0,,,
54773.0,,,
54774.0,,,
54775.0,,,
54776.0,,,
54777.0,,,
54778.0,,,
54779.0,,,
54780.0,,,
54781.0,,,
54782.0,,,
54783.0,,,
54784.0,,,
54785.0,,,
54786.0,,,
54787.0,,,
54788.0,,,
54789.0,,,
54790.0,,,
54791.0,,,
54792.0,,,
54793.0,,,
54794.0,,,
54795.0,,,
54796.0,,,
54797.0,,,
54798.0,,,
54799.0,,,
54800.0,,,
54801.0,,,
54802.0,,,
54803.0,,,
54804.0,,,
54805.0,,,
54806.0,,,
54807.0,,,
54808.0,,,
54809.0,,,
54810.0,,,
54811.0,,,
54812.0,,,
54813.0,,,
54814.0,,,
54815.0,,,
54816.0,,,
54817.0,,,
54818.0,,,
54819.0,,,
54820.0,,,
54821.0,,,
54822.0,,,
54823.0,,,
54824.0,,,
54825.0,,,
54826.0,,,
54827.0,,,
54828.0,,,
54829.0,,,
54830.0,,,
54831.0,,,
54832.0,,,
54833.0,,,
54834.0,,,
54835.0,,,
54836.0,,,
54837.0,,,
54838.0,,,
54839.0,,,
54840.0,,,
54841.0,,,
54842.0,,,
54843.0,,,
54844.0,,,
54845.0,,,
54846.0,,,
54847.0,,,
54848.0,,,
54849.0,,,
54850.0,,,
54851.0,,,
54852.0,,,
54853.0,,,
54854.0,,,
54855.0,,,
54856.0,,,
54857.0,,,
54858.0,,,
54859.0,,,
54860.0,,,
54861.0,,,
54862.0,19.821973749999998,0.6834359111235244,54862.42266761863
54863.0,,,
54864.0,,,
54865.0,,,
54866.0,,,
54867.0,,,
54868.0,,,
54869.0,,,
54870.0,,,
54871.0,,,
54872.0,,,
54873.0,,,
54874.0,,,
54875.0,,,
54876.0,,,
54877.0,,,
54878.0,,,
54879.0,,,
54880.0,,,
54881.0,,,
54882.0,,,
54883.0,,,
54884.0,,,
54885.0,,,
54886.0,,,
54887.0,,,
54888.0,,,
54889.0,,,
54890.0,,,
54891.0,,,
54892.0,19.68724225,0.2778614772178116,54892.39517289933
54893.0,,,
54894.0,,,
54895.0,,,
54896.0,,,
54897.0,,,
54898.0,,,
54899.0,,,
54900.0,,,
54901.0,,,
54902.0,,,
54903.0,,,
54904.0,,,
54905.0,,,
54906.0,,,
54907.0,,,
54908.0,19.4902135,0.5442556383350166,54908.32221886868
54909.0,,,
54910.0,,,
54911.0,,,
54912.0,,,
54913.0,,,
54914.0,,,
54915.0,19.429503400000005,0.929494165070355,54915.41504358787
54916.0,,,
54917.0,,,
54918.0,,,
54919.0,,,
54920.0,,,
54921.0,,,
54922.0,,,
54923.0,,,
54924.0,,,
54925.0,,,
54926.0,,,
54927.0,,,
54928.0,,,
54929.0,,,
54930.0,,,
54931.0,,,
54932.0,,,
54933.0,,,
54934.0,,,
54935.0,,,
54936.0,,,
54937.0,,,
54938.0,,,
54939.0,,,
54940.0,,,
54941.0,,,
54942.0,,,
54943.0,,,
54944.0,,,
54945.0,,,
54946.0,19.78312875,0.26286656221782323,54946.25539174477
54947.0,,,
54948.0,,,
54949.0,,,
54950.0,,,
54951.0,,,
54952.0,,,
54953.0,,,
54954.0,,,
54955.0,,,
54956.0,,,
54957.0,,,
54958.0,,,
54959.0,,,
54960.0,,,
54961.0,,,
54962.0,,,
54963.0,,,
54964.0,,,
54965.0,,,
54966.0,,,
54967.0,,,
54968.0,,,
54969.0,,,
54970.0,,,
54971.0,,,
54972.0,,,
54973.0,,,
54974.0,,,
54975.0,,,
54976.0,,,
54977.0,,,
54978.0,,,
54979.0,,,
54980.0,,,
54981.0,,,
54982.0,,,
54983.0,,,
54984.0,,,
54985.0,,,
54986.0,,,
54987.0,,,
54988.0,,,
54989.0,,,
54990.0,,,
54991.0,,,
54992.0,,,
54993.0,,,
54994.0,,,
54995.0,,,
54996.0,,,
54997.0,,,
54998.0,,,
54999.0,,,
55000.0,,,
55001.0,,,
55002.0,,,
55003.0,,,
55004.0,,,
55005.0,,,
55006.0,19.709265666666667,0.8631979548372328,55006.33078096437
55007.0,,,
55008.0,,,
55009.0,,,
55010.0,,,
55011.0,,,
55012.0,,,
55013.0,,,
55014.0,,,
55015.0,,,
55016.0,,,
