Modified Julian Day,Magnitude,mjd
53250,18.139,53251.23274
53252,,
53254,18.048,53254.2201
53256,18.106,53256.28595
53258,18.118,53258.22201
53260,18.124,53260.19606
53262,18.11,53262.23204
53264,18.093,53264.18376
53266,18.127,53266.25471
53268,18.11,53268.188
53270,18.109,53270.66209
53272,18.087,53272.2127
53274,18.138,53274.1948
53276,18.153,53276.72008
53278,18.106,53279.1691
53280,18.079,53281.12854
53282,18.12,53283.13433
53284,,
53286,18.167,53287.10045
53288,18.098,53289.11139
53290,,
53292,18.121,53293.0884
53294,18.118,53295.10715
53296,18.047,53297.08839
53298,18.062,53299.14529
53300,18.046,53301.11944
53302,18.048,53303.18163
53304,,
53306,18.094,53306.11422
53308,18.13,53308.10205
53310,18.132,53310.10124
53312,18.102,53312.14326
53314,18.146,53314.05592
53316,,
53318,,
53320,18.1245,53320.59149
53322,18.108,53323.03722
53324,,
53326,18.128,53327.04842
53328,,
53330,18.103,53330.04239
53332,,
53334,18.002,53335.08347
53336,,
53338,18.048,53338.09047
53340,,
53342,,
53344,,
53346,,
53348,17.978,53349.08759
53350,,
53352,17.966,53353.06487
53354,,
53356,,
53358,,
53360,18.055,53360.07573
53362,17.965,53363.04542
53364,,
53366,18.008,53367.10861
53368,,
53370,,
53372,,
53374,18.006,53375.04162
53376,,
53378,17.977,53378.08714
53380,,
53382,,
53384,,
53386,17.956,53386.05355
53388,,
53390,17.969,53390.06198
53392,,
53394,,
53396,,
53398,18.03,53398.049
53400,,
53402,18.001,53402.03711
53404,,
53406,,
53408,,
53410,,
53412,,
53414,,
53416,,
53418,,
53420,,
53422,,
53424,,
53426,,
53428,,
53430,,
53432,,
53434,,
53436,,
53438,,
53440,,
53442,,
53444,,
53446,,
53448,,
53450,,
53452,,
53454,,
53456,,
53458,,
53460,,
53462,,
53464,,
53466,,
53468,,
53470,,
53472,,
53474,,
53476,,
53478,,
53480,,
53482,,
53484,,
53486,,
53488,,
53490,,
53492,,
53494,,
53496,,
53498,,
53500,,
53502,,
53504,,
53506,,
53508,,
53510,,
53512,,
53514,,
53516,,
53518,,
53520,,
53522,,
53524,,
53526,,
53528,,
53530,,
53532,,
53534,,
53536,,
53538,16.927,53538.44584
53540,,
53542,,
53544,,
53546,16.775,53547.40711
53548,,
53550,,
53552,,
53554,16.634,53554.4153
53556,16.604,53556.37095
53558,16.5205,53558.88302
53560,16.45066667,53561.0716
53562,16.4196,53562.59108
53564,16.3745,53564.38164
53566,,
53568,16.22933333,53568.82899
53570,16.16875,53570.72947
53572,16.09814286,53572.81487
53574,16.0255,53574.85254
53576,15.968,53576.99196
53578,15.8714,53578.96957
53580,15.80155556,53581.0179
53582,15.724875,53582.8132
53584,15.652,53584.78745
53586,15.59783333,53586.33818
53588,15.5151,53588.83923
53590,15.465625,53590.82925
53592,15.463125,53592.82888
53594,15.477,53594.31338
53596,15.5508,53596.60965
53598,,
53600,15.68728571,53601.03019
53602,15.737,53602.81036
53604,,
53606,15.8875,53607.30998
53608,15.92525,53608.28501
53610,,
53612,,
53614,16.131625,53614.82152
53616,16.20525,53617.25055
53618,16.252625,53618.74753
53620,16.306,53620.78392
53622,16.36366667,53622.29279
53624,16.41775,53625.25489
53626,16.46466667,53626.19804
53628,16.53314286,53628.80922
53630,16.58622222,53630.6654
53632,16.63333333,53632.87969
53634,16.665,53634.21927
53636,16.7142,53636.9861
53638,16.74642857,53638.63156
53640,16.797375,53640.68296
53642,16.833,53643.22785
53644,16.84875,53644.19766
53646,16.8946,53646.16699
53648,,
53650,16.960875,53650.68204
53652,16.994125,53652.67154
53654,17.034625,53654.67953
53656,17.05985714,53656.77405
53658,17.09575,53658.68976
53660,17.128875,53660.67627
53662,17.18875,53663.13828
53664,17.158,53664.61091
53666,17.17466667,53666.20772
53668,17.217,53668.29716
53670,17.251,53670.93998
53672,17.2768,53672.32818
53674,17.29728571,53674.63904
53676,17.31725,53676.16218
53678,,
53680,17.425,53681.09067
53682,17.393875,53682.61083
53684,17.381125,53684.66471
53686,17.402875,53686.61076
53688,17.422625,53688.57739
53690,17.44533333,53690.41219
53692,17.4665,53692.57233
53694,17.5168,53694.69731
53696,17.486,53696.07673
53698,17.51325,53699.11023
53700,17.54366667,53700.77211
53702,17.55314286,53702.54763
53704,17.57485714,53704.6624
53706,17.58828571,53706.5122
53708,17.60125,53708.11646
53710,17.6075,53711.09477
53712,17.615,53712.5892
53714,17.618375,53714.58856
53716,17.625,53716.84886
53718,17.64225,53718.58488
53720,17.656,53720.57186
53722,17.6535,53722.07673
53724,17.6918,53724.71259
53726,17.6865,53726.41941
53728,17.672,53728.07494
53730,17.73125,53730.55108
53732,17.73,53732.1066
53734,17.7415,53734.60049
53736,17.75225,53736.5839
53738,17.751,53739.05746
53740,17.80475,53740.55933
53742,17.7815,53742.56456
53744,17.8065,53745.06543
53746,17.84475,53746.56533
53748,17.76933333,53748.39693
53750,17.83533333,53751.06249
53752,,
53754,,
53756,17.823,53756.06162
53758,17.832,53758.73886
53760,17.844,53760.05507
53762,17.82866667,53762.73194
53764,17.859,53764.73085
53766,17.8525,53766.05741
53768,17.844,53768.71764
53770,17.8665,53771.05065
53772,17.8875,53772.55588
53774,17.88033333,53774.71176
53776,17.901,53776.54247
53778,17.907,53778.04313
53780,17.867,53780.02707
53782,,
53784,,
53786,17.91725,53786.52436
53788,17.905,53788.51734
53790,17.938,53791.01679
53792,,