Modified Julian Day,Magnitude,mjd
58202.0,17.206665,58204.34690856499
58206.0,17.196156,58207.47459877143
58210.0,17.195738,58211.01389250625
58214.0,17.225292,58214.29614585
58218.0,,
58222.0,17.185017,58223.3254109
58226.0,17.173374,58228.573774587494
58230.0,17.174656,58231.64230655
58234.0,17.177324,58235.80537215
58238.0,17.165428,58238.1946412
58242.0,17.144602,58243.38250496429
58246.0,17.164566,58247.86841434706
58250.0,,
58254.0,17.13913,58255.3280486
58258.0,17.148413,58259.175515049996
58262.0,17.150051,58262.7907928
58266.0,17.14908,58267.75459259
58270.0,17.138374,58272.002252599996
58274.0,17.153671,58275.9408179
58278.0,17.16066,58279.60605420833
58282.0,17.178354,58283.26778935556
58286.0,17.178465,58287.39270998572
58290.0,17.206215,58291.89332562222
58294.0,17.195751,58294.87653163334
58298.0,17.217945,58299.36372024286
58302.0,17.209837,58304.23301795
58306.0,17.21625,58306.69429232857
58310.0,17.247458,58312.294769811124
58314.0,17.204586,58316.177338
58318.0,17.254824,58320.52046296667
58322.0,17.227154,58323.24409225715
58326.0,17.228985,58327.43057
58330.0,17.21656,58331.36803433334
58334.0,17.20417,58335.6789583
58338.0,,
58342.0,17.222658,58343.1745255
58346.0,17.202745,58348.41882525
58350.0,17.233559,58351.2202777875
58354.0,,
58358.0,17.214027,58361.1549537
58362.0,17.222591,58364.1928588
58366.0,17.234318,58367.2192361
58370.0,17.22861,58370.1746991
58374.0,,
58378.0,,
58382.0,17.220966,58385.1594444
58386.0,,
58390.0,,
58394.0,,
58398.0,,
58402.0,,
58406.0,,
58410.0,,
58414.0,,
58418.0,,
58422.0,,
58426.0,,
58430.0,,
58434.0,,
58438.0,,
58442.0,,
58446.0,,
58450.0,,
58454.0,,
58458.0,,
58462.0,17.240353,58462.5121412
58466.0,,
58470.0,17.156967,58472.4731944
58474.0,,
58478.0,17.082005,58480.5339352
58482.0,,
58486.0,17.116108,58487.5092593
58490.0,17.09558,58491.4913194
58494.0,17.099142,58494.5340972
58498.0,,
58502.0,17.065258,58503.988194449994
58506.0,,
58510.0,17.038893,58511.5113773
58514.0,,
58518.0,,
58522.0,17.073574,58522.506875
58526.0,17.103287,58526.4661574
58530.0,,
58534.0,,
58538.0,17.111067,58539.85620080834
58542.0,17.118443,58543.504189800005
58546.0,17.093042,58547.3624595
58550.0,,
58554.0,,
58558.0,17.04707,58560.649059625
58562.0,17.146816,58562.3277315
58566.0,17.088749,58567.75815046
58570.0,17.089487,58572.81152775715
58574.0,17.093643,58574.92371032858
58578.0,17.091213,58580.72238811667
58582.0,17.083435,58583.6311795
58586.0,17.054008,58587.88908647142
58590.0,17.103321,58591.842791266674
58594.0,17.092676,58596.005443300004
58598.0,17.089775,58598.4774785
58602.0,,
58606.0,17.09175,58607.46638246667
58610.0,17.08556,58612.2908478
58614.0,17.095325,58616.75614087143
58618.0,17.107826,58619.27484955
58622.0,,
58626.0,17.109928,58628.22
58630.0,17.120264,58632.2955517
58634.0,17.115595,58636.16032293
58638.0,17.115925,58639.75820105715
58642.0,17.109165,58643.3385949
58646.0,17.094067,58647.73461676667
58650.0,17.104034,58651.84743679232
58654.0,17.10376,58655.111731171426
58658.0,17.11753,58659.95574655
58662.0,17.111334,58663.81810414001
58666.0,17.099796,58667.2521219
58670.0,17.097736,58673.3028472
58674.0,17.100515,58676.2962153
58678.0,17.114777,58679.2849421
58682.0,17.111599,58682.1766551
58686.0,,
58690.0,17.095943,58691.2177083
58694.0,17.103096,58694.2170833
58698.0,17.183372,58698.2032292
58702.0,,
58706.0,17.064472,58707.2659028
58710.0,17.131504,58711.20908179999
58714.0,17.101173,58714.1582639
58718.0,17.062141,58719.6600579
58722.0,17.119055,58724.1724769
58726.0,17.108086,58728.6375174
58730.0,17.127197,58732.7378092
58734.0,17.133972,58734.9181337
58738.0,,
58742.0,,
58746.0,17.111876,58749.1356597
58750.0,,
58754.0,,
58758.0,17.086239,58760.1428009
58762.0,,
58766.0,,
58770.0,17.047136,58772.119375
58774.0,,
58778.0,,
58782.0,,
58786.0,,
58790.0,,
58794.0,,
58798.0,,
58802.0,,
58806.0,,
58810.0,,
58814.0,,
58818.0,,
58822.0,,
58826.0,,
58830.0,17.035526,58831.5702662
58834.0,,
58838.0,17.01332,58838.4875694
58842.0,,
58846.0,,
58850.0,16.992058,58852.03887155
58854.0,17.008928,58856.4833044
58858.0,17.03022,58861.5035243
58862.0,17.029854,58863.45601355715
58866.0,,
58870.0,17.053822,58872.4427199
58874.0,17.037138,58876.51421005
58878.0,17.018702,58880.252549175006
58882.0,17.003412,58884.45391204286
58886.0,17.017595,58887.31016588333
58890.0,16.997818,58891.846556181816
58894.0,,
58898.0,16.988543,58899.382227999995
58902.0,16.971607,58903.948886025
58906.0,17.014006,58906.985839125
58910.0,16.96971,58912.4842824
58914.0,16.945286,58914.995567100006
58918.0,,
58922.0,,
58926.0,,
58930.0,,
58934.0,16.94019,58936.4721296
58938.0,16.923836,58940.46724533333
58942.0,16.938852,58943.961903949996
58946.0,,
58950.0,,
58954.0,16.919558,58955.3889506
58958.0,,
58962.0,16.93378,58963.75668752
58966.0,16.982805,58967.84836515
58970.0,16.963799,58971.837948500004
58974.0,16.977104,58975.70524303999
58978.0,16.975183,58979.738831025
58982.0,17.00901,58985.3010764
58986.0,,
58990.0,17.017311,58991.3120833
58994.0,16.989595,58995.7413831
58998.0,16.983078,59000.2475231
59002.0,,
59006.0,,
59010.0,16.976646,59012.3013194
59014.0,16.957455,59016.2078125
59018.0,16.970148,59019.261331
59022.0,16.958912,59025.2380093
59026.0,,
59030.0,16.947468,59032.218819400005
59034.0,16.96874,59035.813740740006
59038.0,16.957647,59039.72372975
59042.0,16.967691,59043.71422455001
59046.0,16.966522,59046.73401045
59050.0,16.959133,59051.1812616
59054.0,16.939415,59054.2641088
59058.0,,
59062.0,16.95854,59063.2637269
59066.0,16.944748,59067.2032986
59070.0,,
59074.0,,
59078.0,,
59082.0,,
59086.0,,
59090.0,,
59094.0,,
59098.0,,
59102.0,,
59106.0,,
59110.0,,
59114.0,,
59118.0,,
59122.0,,
59126.0,,
59130.0,,
59134.0,,
59138.0,,
59142.0,,
59146.0,,
59150.0,,
59154.0,,
59158.0,,
59162.0,,
59166.0,,
59170.0,,
59174.0,,
59178.0,,
59182.0,,
59186.0,16.96941,59188.5344676
59190.0,16.913248,59192.5448148
59194.0,16.944637,59194.5454051
59198.0,16.908388,59199.5389236
59202.0,16.955843,59203.4932292
59206.0,,
59210.0,,
59214.0,16.940998,59216.511603
59218.0,16.948473,59220.48387155
59222.0,16.939894,59224.5090162
59226.0,16.960327,59228.5211285
59230.0,16.945766,59231.4515972
59234.0,,
59238.0,,
59242.0,,
59246.0,16.899248,59249.4525694
59250.0,16.924126,59252.48355325
59254.0,16.912683,59255.5380903
59258.0,16.920425,59258.3871296
59262.0,16.912458,59263.502112250004
59266.0,16.884954,59266.5002083
59270.0,16.897285,59271.44632525
59274.0,16.88205,59274.4753472
59278.0,16.8717,59280.4135301
59282.0,,
59286.0,,
59290.0,16.875996,59291.4951505
59294.0,16.873991,59295.797135400004
59298.0,16.860317,59300.3643171
59302.0,16.865227,59303.8775868
59306.0,16.858044,59308.3357118
59310.0,16.87589,59312.4195428
59314.0,16.88089,59316.28886575
59318.0,,
59322.0,16.859299,59324.3382465
59326.0,16.86115,59329.3415856
59330.0,,
59334.0,16.863216,59335.2852199
59338.0,16.858704,59339.39603005
59342.0,16.871292,59343.867245350004
59346.0,16.886333,59349.3695023
59350.0,16.907955,59353.361169
59354.0,16.905098,59356.3035648
59358.0,16.88215,59359.2830556
59362.0,16.919617,59362.2176273
59366.0,16.920815,59367.2440683
59370.0,17.0276,59371.2921065
59374.0,16.923323,59376.291377300004
59378.0,16.92529,59380.2950463
59382.0,16.90166,59384.27600695
59386.0,16.924171,59387.3204977
59390.0,16.909096,59392.25381945
59394.0,16.913116,59395.266956
