wavelength,flux
3810,9.8775e-13
3820,7.78703e-13
3830,9.75011e-13
3840,1.10959e-12
3850,8.61342e-13
3860,5.4973e-13
3870,9.63579e-13
3880,8.55136e-13
3890,1.18177e-12
3900,9.60966e-13
3910,1.12788e-12
3920,9.88077e-13
3930,1.87686e-12
3940,1.36534e-12
3950,1.26082e-12
3960,9.04784e-13
3970,2.88747e-12
3980,1.9706e-12
3990,1.89482e-12
4000,1.92716e-12
4010,2.11726e-12
4020,2.01306e-12
4030,1.51527e-12
4040,1.84517e-12
4050,1.94447e-12
4060,1.83178e-12
4070,1.561e-12
4080,1.51168e-12
4090,1.47019e-12
4100,1.84615e-12
4110,1.44145e-12
4120,1.35848e-12
4130,1.43884e-12
4140,1.51004e-12
4150,1.54238e-12
4160,1.61653e-12
4170,1.59595e-12
4180,1.51984e-12
4190,1.51233e-12
4200,1.40617e-12
4210,1.26768e-12
4220,7.58124e-13
4230,5.04328e-13
4240,1.0325e-12
4250,1.02564e-12
4260,1.03348e-12
4270,1.22358e-12
4280,1.42022e-12
4290,1.36371e-12
4300,1.47183e-12
4310,1.46301e-12
4320,1.63188e-12
4330,1.89253e-12
4340,2.89204e-12
4350,2.06892e-12
4360,1.72105e-12
4370,2e-12
4380,2.05553e-12
4390,2.19173e-12
4400,2.26621e-12
4410,2.63563e-12
4420,2.78229e-12
4430,2.86003e-12
4440,3.53095e-12
4450,3.6714e-12
4460,3.58974e-12
4470,4.01437e-12
4480,4.38347e-12
4490,4.70684e-12
4500,5.02694e-12
4510,4.68071e-12
4520,5.06614e-12
4530,5.42217e-12
4540,6.09505e-12
4550,5.50383e-12
4560,6.66013e-12
4570,7.62371e-12
4580,6.9933e-12
4590,5.29805e-12
4600,6.11138e-12
4610,7.00963e-12
4620,8.21492e-12
4630,5.63122e-12
4640,6.07871e-12
4650,6.52947e-12
4660,7.7119e-12
4670,5.74228e-12
4680,5.44177e-12
4690,6.56214e-12
4700,7.50285e-12
4710,7.17948e-12
4720,6.67646e-12
4730,7.63024e-12
4740,7.99934e-12
4750,9.00212e-12
4760,6.12118e-12
4770,4.16789e-12
4780,5.15433e-12
4790,6.33023e-12
4800,6.88551e-12
4810,4.57292e-12
4820,5.69655e-12
4830,6.46741e-12
4840,6.88224e-12
4850,5.78801e-12
4860,7.00963e-12
4870,6.36289e-12
4880,7.14682e-12
4890,7.84255e-12
4900,8.4207e-12
4910,1.00931e-11
4920,1.11416e-11
4930,1.24057e-11
4940,1.3366e-11
4950,1.41075e-11
4960,4.87016e-12
4970,6.51314e-12
4980,7.43099e-12
4990,8.97272e-12
5000,6.98677e-12
5010,6.49028e-12
5020,7.12069e-12
5030,7.99607e-12
5040,9.35488e-12
5050,9.69132e-12
5060,9.87097e-12
5070,1.06451e-11
5080,1.05961e-11
5090,1.09129e-11
5100,1.05765e-11
5110,1.07235e-11
5120,1.17851e-11
5130,1.13996e-11
5140,1.23599e-11
5150,1.14976e-11
5160,1.36992e-11
5170,5.33072e-12
5180,4.97142e-12
5190,7.73803e-12
5200,8.53829e-12
5210,8.50236e-12
5220,1.28466e-11
5230,1.34411e-11
5240,1.24318e-11
5250,1.24873e-11
5260,1.28172e-11
5270,1.18112e-11
5280,1.38102e-11
5290,1.52278e-11
5300,1.51625e-11
5310,1.47934e-11
5320,1.46987e-11
5330,1.43296e-11
5340,1.52899e-11
5350,1.67663e-11
5360,1.59791e-11
5370,1.60313e-11
5380,1.80304e-11
5390,1.83929e-11
5400,1.87522e-11
5410,1.82623e-11
5420,1.99412e-11
5430,1.92128e-11
5440,2.04801e-11
5450,1.21542e-11
5460,1.0681e-11
5470,1.20268e-11
5480,1.2618e-11
5490,1.3072e-11
5500,9.23076e-12
5510,7.93401e-12
5520,7.25134e-12
5530,6.66339e-12
5540,5.96113e-12
5550,6.93124e-12
5560,9.31242e-12
5570,1.15499e-11
5580,1.34738e-11
5590,1.36371e-11
5600,1.1821e-11
5610,1.19418e-11
5620,1.10501e-11
5630,1.09554e-11
5640,1.14029e-11
5650,1.30785e-11
5660,1.33268e-11
5670,1.21444e-11
5680,1.35881e-11
5690,1.44798e-11
5700,1.54859e-11
5710,1.61195e-11
5720,1.53879e-11
5730,1.6211e-11
5740,1.63221e-11
5750,1.76155e-11
5760,1.49469e-11
5770,1.48391e-11
5780,1.61163e-11
5790,1.77168e-11
5800,1.91899e-11
5810,1.67401e-11
5820,1.43786e-11
5830,1.50612e-11
5840,1.43426e-11
5850,1.12134e-11
5860,9.96569e-12
5870,8.91066e-12
5880,6.97043e-12
5890,4.60558e-12
5900,5.62469e-12
5910,7.07822e-12
5920,7.79356e-12
5930,8.61342e-12
5940,9.85137e-12
5950,9.38755e-12
5960,9.16543e-12
5970,9.75665e-12
5980,1.05602e-11
5990,1.16413e-11
6000,1.16348e-11
6010,1.19974e-11
6020,1.28009e-11
6030,1.33464e-11
6040,1.39082e-11
6050,1.49796e-11
6060,1.53552e-11
6070,1.58158e-11
6080,1.55316e-11
6090,1.58909e-11
6100,1.58223e-11
6110,1.58942e-11
6120,1.49959e-11
6130,1.53617e-11
6140,1.48979e-11
6150,1.24971e-11
6160,9.36795e-12
6170,8.10713e-12
6180,7.64984e-12
6190,7.05536e-12
6200,7.18928e-12
6210,7.16968e-12
6220,6.47068e-12
6230,6.47721e-12
6240,6.99003e-12
6250,7.70863e-12
6260,8.60688e-12
6270,9.5476e-12
6280,1.08705e-11
6290,1.23011e-11
6300,1.40389e-11
6310,1.65344e-11
6320,1.78605e-11
6330,1.92748e-11
6340,2.20023e-11
6350,2.25837e-11
6360,2.13523e-11
6370,2.17834e-11
6380,2.09472e-11
6390,2.18781e-11
6400,2.54777e-11
6410,2.64576e-11
6420,2.48767e-11
6430,2.6144e-11
6440,2.74963e-11
6450,2.8326e-11
6460,3.01421e-11
6470,3.25918e-11
6480,3.08705e-11
6490,3.11056e-11
6500,3.47868e-11
6510,3.79879e-11
6520,4.12216e-11
6530,4.54679e-11
6540,4.67418e-11
6550,4.12543e-11
6560,4.19729e-11
6570,3.52768e-11
6580,3.2827e-11
6590,3.38069e-11
6600,3.19876e-11
6610,3.19549e-11
6620,2.87931e-11
6630,2.69378e-11
6640,2.57717e-11
6650,2.3054e-11
6660,2.23289e-11
6670,2.41417e-11
6680,2.10289e-11
6690,2.00849e-11
6700,2.19043e-11
6710,2.14633e-11
6720,1.81218e-11
6730,1.91148e-11
6740,2.11726e-11
6750,2.01339e-11
6760,2.17998e-11
6770,2.37759e-11
6780,2.21819e-11
6790,2.11334e-11
6800,2.28515e-11
6810,2.38249e-11
6820,2.41221e-11
6830,2.53993e-11
6840,2.63073e-11
6850,2.47917e-11
6860,2.47068e-11
6870,2.69737e-11
6880,2.87506e-11
6890,2.90315e-11
6900,3.06418e-11
6910,3.34476e-11
6920,3.36763e-11
6930,3.81185e-11
6940,4.32467e-11
6950,4.68724e-11
6960,4.74604e-11
6970,4.97468e-11
6980,5.30132e-11
6990,5.40258e-11
7000,5.56589e-11
7010,5.90233e-11
7020,6.2845e-11
7030,6.91164e-11
7040,7.49632e-11
7050,6.5556e-11
7060,3.90005e-11
7070,3.94904e-11
7080,4.05683e-11
7090,2.94855e-11
7100,2.82574e-11
7110,3.39376e-11
7120,3.31863e-11
7130,2.17736e-11
7140,2.29169e-11
7150,2.62159e-11
7160,2.7676e-11
7170,2.93483e-11
7180,3.32516e-11
7190,3.61261e-11
7200,3.32843e-11
7210,3.64854e-11
7220,4.03723e-11
7230,4.37367e-11
7240,4.83096e-11
7250,5.54303e-11
7260,6.00032e-11
7270,6.08851e-11
7280,6.43475e-11
7290,7.13049e-11
7300,7.85889e-11
7310,8.45663e-11
7320,8.88779e-11
7330,9.26016e-11
7340,9.8579e-11
7350,1.00996e-10
7360,1.03707e-10
7370,1.07954e-10
7380,1.12363e-10
7390,1.14944e-10
7400,1.1527e-10
7410,1.15238e-10
7420,1.15303e-10
7430,1.17099e-10
7440,1.18635e-10
7450,1.19778e-10
7460,1.1981e-10
7470,1.21509e-10
7480,1.2471e-10
7490,1.24743e-10
7500,1.27682e-10
7510,1.32713e-10
7520,1.3121e-10
7530,1.33856e-10
7540,1.41009e-10
7550,1.41401e-10
7560,1.42152e-10
7570,1.40585e-10
7580,1.40356e-10
7590,1.10861e-10
7600,1.03087e-10
7610,1.1233e-10
7620,1.13931e-10
7630,8.74734e-11
7640,8.50889e-11
7650,8.12999e-11
7660,5.72268e-11
7670,4.82769e-11
7680,6.05912e-11
7690,5.95786e-11
7700,5.02694e-11
7710,6.5752e-11
7720,7.80009e-11
7730,8.58729e-11
7740,8.50563e-11
7750,7.25787e-11
7760,7.43752e-11
7770,8.0418e-11
7780,7.98627e-11
7790,8.03527e-11
7800,8.59055e-11
7810,9.60966e-11
7820,9.30262e-11
7830,8.67548e-11
7840,9.03151e-11
7850,9.5182e-11
7860,9.60966e-11
7870,9.60966e-11
7880,1.04981e-10
7890,1.10077e-10
7900,1.057e-10
7910,1.0018e-10
7920,1.01813e-10
7930,1.0717e-10
7940,1.08443e-10
7950,1.09913e-10
7960,1.15825e-10
7970,1.21509e-10
7980,1.16903e-10
7990,1.16577e-10
8000,1.20758e-10
8010,1.29773e-10
8020,1.36077e-10
8030,1.40781e-10
8040,1.46039e-10
8050,1.52507e-10
8060,1.58876e-10
8070,1.62143e-10
8080,1.66846e-10
8090,1.71811e-10
8100,1.73085e-10
8110,1.80565e-10
8120,1.81512e-10
8130,1.8896e-10
8140,1.92879e-10
8150,1.90723e-10
8160,1.85595e-10
8170,1.8811e-10
8180,1.61947e-10
8190,1.40715e-10
8200,1.44831e-10
8210,1.72628e-10
8220,1.80108e-10
8230,1.87653e-10
8240,1.91932e-10
8250,1.87588e-10
8260,1.87718e-10
8270,1.87784e-10
8280,1.81578e-10
8290,1.76874e-10
8300,1.71321e-10
8310,1.71844e-10
8320,1.78278e-10
8330,1.76874e-10
8340,1.72726e-10
8350,1.7253e-10
8360,1.74979e-10
8370,1.77005e-10
8380,1.68447e-10
8390,1.66193e-10
8400,1.71942e-10
8410,1.77495e-10
8420,1.73934e-10
8430,1.61489e-10
8440,1.41728e-10
8450,1.33203e-10
8460,1.2569e-10
8470,1.24318e-10
8480,1.30132e-10
8490,1.33268e-10
8500,1.30916e-10
8510,1.29054e-10
8520,1.2765e-10
8530,1.34052e-10
8540,1.38396e-10
8550,1.47934e-10
8560,1.48555e-10
8570,1.50253e-10
8580,1.52801e-10
8590,1.53617e-10
8600,1.59301e-10
8610,1.62077e-10
8620,1.62763e-10
8630,1.642e-10
8640,1.66748e-10
8650,1.65638e-10
8660,1.64135e-10
8670,1.67597e-10
8680,1.68839e-10
8690,1.64364e-10
8700,1.64527e-10
8710,1.64527e-10
8720,1.65017e-10
8730,1.73379e-10
8740,1.75371e-10
8750,1.8001e-10
8760,1.84158e-10
8770,1.88633e-10
8780,1.92553e-10
8790,1.94545e-10
8800,1.93173e-10
8810,1.99575e-10
8820,2.01796e-10
8830,2.04148e-10
8840,2.09309e-10
8850,2.05161e-10
8860,1.886e-10
8870,1.70047e-10
8880,1.73967e-10
8890,1.79356e-10
8900,1.87359e-10
8910,1.92422e-10
8920,1.94316e-10
8930,1.94676e-10
8940,1.89547e-10
8950,1.91181e-10
8960,1.95002e-10
8970,2.00849e-10
8980,2.05814e-10
8990,2.06369e-10
9000,2.08329e-10
9010,2.14111e-10
9020,2.03626e-10
9030,2.02678e-10
9040,2.12445e-10
9050,2.16658e-10
9060,2.16528e-10
9070,2.19827e-10
9080,2.22211e-10
9090,2.22636e-10
9100,2.28221e-10
9110,2.29136e-10
9120,2.30475e-10
9130,2.37694e-10
9140,2.35015e-10
9150,2.39817e-10
9160,2.4292e-10
9170,2.39784e-10
9180,2.40829e-10
9190,2.44586e-10
